description,keywords,name,no_of_reviews,price,published_date,ratings,url,max_no_weeks_on_list,price_numeric,ratings_numeric,class_text,polarity_score
A fetus in utero overhears his mother plotting with his uncle to kill his father.,"['mcewan', 'fetus', 'narrator', 'ian', 'hamlet', 'perspective', 'unborn', 'mother', 'womb', 'murder', 'told', 'baby', 'view', 'child', 'clever', 'claude', 'unique', 'father', 'premise', 'trudy']",NUTSHELL,828,"['Hardcover', '$12.98', '143', 'Used', 'from', '$1.99', '58', 'New', 'from', '$7.95', '15', 'Collectible', 'from', '$8.94', 'Paperback', '$17.34', '2', 'Used', 'from', '$29.05', '7', 'New', 'from', '$17.34', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-02,4.0 out of 5 s,http://www.amazon.com/Nutshell-Novel-Ian-McEwan-ebook/dp/B01E2GZ30Y?tag=NYTBS-20,4,12.98,4,,0
"Jesse Stone pursues a psychotic assassin out for revenge; a continuation of the series by Parker, who died in 2010.","['coleman', 'reed', 'ending', 'novels', 'farrel', 'peepers', 'paradise', 'movies', 'suspense', 'tom', 'jessie', 'fans', 'spenser', 'continues', 'killer', 'jenn', 'dialogue', 'police', 'write', 'mystery']",ROBERT B. PARKER'S DEBT TO PAY,538,"['Hardcover', '$22.20', '79', 'Used', 'from', '$1.99', '22', 'New', 'from', '$14.95', '5', 'Collectible', 'from', '$13.89', 'Paperback', '$7.48', '65', 'Used', 'from', '$2.99', '57', 'New', 'from', '$6.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-02,3.8 out of 5 s,http://www.amazon.com/Robert-Parkers-Jesse-Stone-Novel/dp/0399171436?tag=NYTBS-20,1,22.2,3.8,neg,-0.5
Myron Bolitar and his friend Win locate a boy who was kidnapped 10 years earlier  the 11th Myron Bolitar novel.,"['coben', 'win', 'harlan', 'twists', 'ending', 'mystery', 'page', 'turns', 'twist', 'guessing', 'mickey', 'suspense', 'usual', 'boys', 'kept', 'novels', 'coming', 'humor', 'missed', 'cohen']",HOME,2854,"['Hardcover', '$7.50', '242', 'Used', 'from', '$0.25', '67', 'New', 'from', '$4.69', '21', 'Collectible', 'from', '$5.60', 'Paperback', '$9.11', '156', 'Used', 'from', '$1.01', '59', 'New', 'from', '$5.30', '5', 'Collectible', 'from', '$5.22', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-09,4.5 out of 5,http://www.amazon.com/Home-Harlan-Coben-ebook/dp/B01COJUGOE?tag=NYTBS-20,0,7.5,4.5,pos,0.4
"The 12-year-old detective Flavia de Luce, returning home to","['bradley', 'alan', 'mystery', 'father', 'canada', 'gladys', 'sisters', 'dogger', 'ending', 'young', 'chemistry', 'body', 'buckshaw', 'girl', 'hospital', 'bicycle', 'previous', 'mysteries', 'usual', 'murder']",THRICE THE BRINDED CAT HATH MEW'D,482,"['Hardcover', '$36.99', '8', 'Used', 'from', '$18.98', '4', 'New', 'from', '$34.83', 'Paperback', '$10.87', '50', 'Used', 'from', '$6.73', '52', 'New', 'from', '$10.48', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-09,4.5 out of 5 s,http://www.amazon.com/Thrice-Brinded-Cat-Hath-Mewd-ebook/dp/B01BAU2KSI?tag=NYTBS-20,1,36.99,4.5,,0
"Will Trent of the Georgia Bureau of Investigation and his lover, the medical examiner Sara Linton, pursue a case involving a dirty Atlanta cop.","['slaughter', 'karin', 'angie', 'sara', 'twists', 'turns', 'page', 'relationship', 'mystery', 'faith', 'thriller', 'amanda', 'suspense', 'crime', 'murder', 'beginning', 'ending', 'linton', 'hate', 'novels']",THE KEPT WOMAN,1161,"['Hardcover', '$16.85', '118', 'Used', 'from', '$1.55', '36', 'New', 'from', '$5.70', '14', 'Collectible', 'from', '$6.75', 'Paperback', '$12.18', '118', 'Used', 'from', '$1.27', '57', 'New', 'from', '$8.97', '1', 'Collectible', 'from', '$18.97', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-09,4.4 out of 5,http://www.amazon.com/Kept-Woman-Novel-Karin-Slaughter-ebook/dp/B019WVPSUO?tag=NYTBS-20,2,16.85,4.4,neg,-0.3
"The mercenary Kate Daniels and the man she loves decide to marry, but there are steep obstacles standing in the way to the altar.","['curran', 'andrews', 'ilona', 'action', 'father', 'roland', 'authors', 'fantasy', 'wedding', 'installment', 'humor', 'coming', 'urban', 'battle', 'christopher', 'julie', 'fantastic', 'roman', 'atlanta', 'relationship']",MAGIC BINDS,1009,"['Hardcover', '$14.75', '29', 'Used', 'from', '$3.09', '20', 'New', 'from', '$8.35', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App', 'Mass', 'Market', 'Paperback', '$7.19', '43', 'Used', '$5.49', '52', 'New', '$5.57']",2016-10-09,4.9 out of 5,http://www.amazon.com/Magic-Binds-Daniels-Ilona-Andrews/dp/0425270696?tag=NYTBS-20,1,14.75,4.9,neg,-0.05
 tour de force near-future adventure trilogy ,"['trilogy', 'science', 'fiction', 'liu', 'cixin', 'sci-fi', 'universe', 'ideas', 'dark', 'forest', 'third', 'body', 'ending', 'human', 'epic', 'physics', 'space', 'chinese', 'concepts', 'humanity']",DEATH'S END,568,"['Hardcover', '$15.40', '70', 'Used', 'from', '$6.52', '67', 'New', 'from', '$10.64', '5', 'Collectible', 'from', '$49.95', 'Paperback', '$9.34', '54', 'Used', 'from', '$8.49', '58', 'New', 'from', '$9.34', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-09,4.6 out of 5 s,http://www.amazon.com/Deaths-End-Remembrance-Earths-Past/dp/0765377101?tag=NYTBS-20,0,15.4,4.6,,0
"The story of a (woman) doctor who, after a life of service and suffering, decides to become a Catholic priest.","['patterson', 'james', 'catholic', 'church', 'faith', 'brigid', 'pope', 'women', 'main', 'kept', 'religious', 'doctor', 'paetro', 'sudan', 'fitzgerald', 'priest', 'maxine', 'moving', 'inspiring', 'page']",WOMAN OF GOD,994,"['Hardcover', '$13.77', '157', 'Used', 'from', '$1.00', '77', 'New', 'from', '$5.59', '20', 'Collectible', 'from', '$4.95', 'Paperback', '$9.88', '132', 'Used', 'from', '$1.25', '67', 'New', 'from', '$4.15', '1', 'Collectible', 'from', '$9.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.2 out of 5 s,http://www.amazon.com/Woman-God-James-Patterson-ebook/dp/B01C37XEXC?tag=NYTBS-20,4,13.77,4.2,,0
"When a corpse is discovered in the snow in Lake Eden, Minn., the baker Hannah Swensen helps the police. Recipes included. The 20th book in the series.","['recipes', 'fluke', 'joanne', 'ross', 'swenson', 'mysteries', 'cookie', 'norman', 'pages', 'cozy', 'mike', 'usual', 'lake', 'eden', 'lisa', 'married', 'flashback', 'holiday', 'town', 'included']",CHRISTMAS CARAMEL MURDER,491,"['Hardcover', '$14.74', '37', 'Used', 'from', '$2.57', '16', 'New', 'from', '$10.67', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$3.99', 'Read', 'with', 'Our', 'Free', 'App', 'Mass', 'Market', 'Paperback', '$5.75', '55', 'Used', '$1.36', '57', 'New', '$4.69']",2016-10-16,4.1 out of 5 s,http://www.amazon.com/Christmas-Caramel-Murder-Swensen-Mystery/dp/1617732281?tag=NYTBS-20,1,14.74,4.1,,0
The Philadelphia homicide detective Matt Payne takes on the shocking case of a murdered young socialite  a Badge of Honor novel.,"['griffin', 'matt', 'web', 'payne', 'ending', 'police', 'butterworth', 'philadelphia', 'authors', 'ends', 'previous', 'action', 'philly', 'usual', 'earlier', 'main', 'father', 'enjoyable', 'development', 'follow']",BROKEN TRUST,369,"['Hardcover', '$8.32', '106', 'Used', 'from', '$1.00', '22', 'New', 'from', '$8.32', '2', 'Collectible', 'from', '$12.17', 'Paperback', '$9.11', '93', 'Used', 'from', '$1.45', '46', 'New', 'from', '$6.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-23,4.0 out of 5 s,http://www.amazon.com/Broken-Trust-Badge-Honor-Griffin/dp/0399171207?tag=NYTBS-20,1,8.32,4,neg,-0.45
A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.,"['sparks', 'nicholas', 'slow', 'russ', 'sad', 'divorce', 'ending', 'heart', 'tears', 'vivian', 'finish', 'kept', 'predictable', 'main', 'father', 'emotions', 'usual', 'relationship', 'marriage', 'sister']",TWO BY TWO,4530,"['Hardcover', '$14.70', '431', 'Used', 'from', '$0.49', '71', 'New', 'from', '$8.13', '18', 'Collectible', 'from', '$4.50', 'Paperback', '$10.14', '166', 'Used', 'from', '$1.16', '84', 'New', 'from', '$4.21', '1', 'Collectible', 'from', '$13.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-01-01,4.2 out of 5,http://www.amazon.com/Two-Nicholas-Sparks-ebook/dp/B01ER6Z7RI?tag=NYTBS-20,21,14.7,4.2,pos,0.1883116883
"In the sixth Dublin Murder Squad novel, Detective Antoinette Conway confronts a case that is more complicated than it appears.","['french', 'tana', 'murder', 'squad', 'detective', 'mystery', 'dublin', 'antoinette', 'conway', 'novels', 'twists', 'main', 'police', 'detectives', 'irish', 'crime', 'woman', 'moran', 'page', 'turns']",THE TRESPASSER,1287,"['Hardcover', '$12.05', '197', 'Used', 'from', '$1.99', '63', 'New', 'from', '$4.20', '11', 'Collectible', 'from', '$5.99', 'Paperback', '$12.46', '126', 'Used', 'from', '$1.75', '72', 'New', 'from', '$6.47', '1', 'Collectible', 'from', '$7.88', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.1 out of 5,http://www.amazon.com/Trespasser-Novel-Tana-French/dp/0670026336?tag=NYTBS-20,4,12.05,4.1,,0
"A calamitous day in the life of a cynical Seattle transplant from the author of “Where’d You Go, Bernadette.”","['bernadette', 'semple', 'maria', 'funny', 'eleanor', 'main', 'ending', 'seattle', 'mother', 'humor', 'sister', 'timby', 'woman', 'hilarious', 'quirky', 'kept', 'sense', 'flood', 'loud', 'follow']",TODAY WILL BE DIFFERENT,706,"['Hardcover', '$12.88', '288', 'Used', 'from', '$0.94', '86', 'New', 'from', '$3.03', '32', 'Collectible', 'from', '$2.69', 'Paperback', '$9.33', '138', 'Used', 'from', '$1.27', '66', 'New', 'from', '$4.99', '1', 'Collectible', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,3.1 out of 5 s,http://www.amazon.com/Today-Will-Different-Maria-Semple-ebook/dp/B01A5VQUKM?tag=NYTBS-20,4,12.88,3.1,neg,-0.6
"A woman starts a blog about her attempt to reach out to a grumpy neighbor at Christmastime, and finds herself falling for him.","['debbie', 'macomber', 'kindness', 'julia', 'cain', 'blog', 'holiday', 'neighbor', 'kill', 'romance', 'sweet', 'netgalley', 'spirit', 'season', 'honest', 'heart', 'copy', 'predictable', 'killing', 'maddox']",TWELVE DAYS OF CHRISTMAS,555,"['Hardcover', '$15.70', '118', 'Used', 'from', '$0.10', '16', 'New', 'from', '$2.83', '3', 'Collectible', 'from', '$4.00', 'Paperback', '$19.99', '26', 'Used', 'from', '$2.19', '4', 'New', 'from', '$15.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$5.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-23,4.6 out of 5 s,http://www.amazon.com/Twelve-Days-Christmas-Novel-ebook/dp/B01AERZQLQ?tag=NYTBS-20,1,15.7,4.6,,0
"In the final book of the Winter Street trilogy, a huge snowstorm bearing down on Nantucket threatens the Quinn family’s Christmas, after a year of significant events.","['elin', 'hilderbrand', 'trilogy', 'quinn', 'nantucket', 'third', 'ending', 'bart', 'holiday', 'final', 'ava', 'ends', 'hildebrand', 'stroll', 'margaret', 'hoping', 'writes', 'enjoyable', 'loose', 'predictable']",WINTER STORMS,397,"['Hardcover', '$11.75', '149', 'Used', 'from', '$1.01', '24', 'New', 'from', '$6.55', '9', 'Collectible', 'from', '$4.89', 'Paperback', '$8.79', '131', 'Used', 'from', '$1.55', '61', 'New', 'from', '$2.92', '3', 'Collectible', 'from', '$9.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.4 out of 5 s,http://www.amazon.com/Winter-Storms-Street-Elin-Hilderbrand/dp/0316261173?tag=NYTBS-20,2,11.75,4.4,pos,0.1548611111
Nearly 50 new poems from the former U.S. poet laureate.,"['collins', 'billy', 'poetry', 'collection', 'poem', 'poet', 'readers', 'laureate', 'humor', 'observations', 'child', 'poets', 'title', 'volume', 'accessible', 'shakespeare', 'prufrock', 'laugh', 'latest', 'page']",THE RAIN IN PORTUGAL,90,"[ 'Hardcover', '$14.29', '74', 'Used', 'from', '$2.51', '56', 'New', 'from', '$6.79', '8', 'Collectible', 'from', '$15.50']",2016-10-23,4.3 out of 5 st,http://www.amazon.com/Rain-Portugal-Poems-Billy-Collins/dp/0679644067?tag=NYTBS-20,1,14.29,4.3,pos,0.0681818182
a fabulously fun new mystery and the basis for a movie from Hallmark,"['harris', 'charlaine', 'roe', 'robin', 'brother', 'missing', 'pregnancy', 'phillip', 'town', 'previous', 'married', 'pregnant', 'ending', 'happened', 'bullying', 'library', 'missed', 'cozy', 'half-brother', 'twists']",ALL THE LITTLE LIARS,285,"['Hardcover', '$14.28', '105', 'Used', 'from', '$1.31', '55', 'New', 'from', '$6.00', '3', 'Collectible', 'from', '$15.46', 'Paperback', '$13.85', '13', 'Used', 'from', '$8.57', '12', 'New', 'from', '$9.87', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-23,4.2 out of 5 s,http://www.amazon.com/All-Little-Liars-Teagarden-Mysteries/dp/1250090032?tag=NYTBS-20,0,14.28,4.2,pos,0.2181818182
"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.","['jodi', 'picoult', 'racism', 'race', 'provoking', 'ruth', 'nurse', 'topic', 'subject', 'today', 'ending', 'important', 'view', 'timely', 'eyes', 'racist', 'racial', 'eye', 'supremacist', 'america']",SMALL GREAT THINGS,7812,"['Hardcover', '$18.92', '172', 'Used', 'from', '$2.34', '48', 'New', 'from', '$10.95', '20', 'Collectible', 'from', '$6.99', 'Paperback', '$12.75', '42', 'Used', 'from', '$7.61', '43', 'New', 'from', '$9.35', '2', 'Collectible', 'from', '$25.10', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-01-01,4.7 out of 5,http://www.amazon.com/Small-Great-Things-Jodi-Picoult-ebook/dp/B01AQNYZ3I?tag=NYTBS-20,23,18.92,4.7,neg,-0.0416666667
"Flynn’s character, the C.I.A. operative Mitch Rapp, uncovers a dangerous Russian plot. Flynn died in 2013.","['flynn', 'vince', 'mills', 'kyle', 'action', 'novels', 'continue', 'keeping', 'continues', 'thriller', 'continuing', 'ending', 'miss', 'page', 'writer', 'alive', 'exciting', 'suspense', 'adventure', 'fans']",VINCE FLYNN: ORDER TO KILL,2037,"['Hardcover', '$8.95', '232', 'Used', 'from', '$1.00', '97', 'New', 'from', '$3.74', '18', 'Collectible', 'from', '$4.50', 'Paperback', '$11.08', '24', 'Used', 'from', '$4.25', '31', 'New', 'from', '$7.09', '1', 'Collectible', 'from', '$12.98', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.5 out of 5,http://www.amazon.com/Order-Kill-Novel-Mitch-Rapp-ebook/dp/B01CO34K8I?tag=NYTBS-20,5,8.95,4.5,neg,-0.3
"In the 17th installment of the No. 1 Ladies’ Detective Agency series, Precious Ramotswe and Grace Makutski help a Canadian woman find the nursemaid who raised her in Botswana.","['smith', 'mccall', 'alexander', 'botswana', 'ramotswe', 'mma', 'usual', 'africa', 'delightful', 'enjoyable', 'makutsi', 'forgiveness', 'human', 'woman', 'gentle', 'visit', 'installment', 'lives', 'disappoint', 'wisdom']",PRECIOUS AND GRACE,682,"['Hardcover', '$14.32', '88', 'Used', 'from', '$1.96', '22', 'New', 'from', '$10.31', '4', 'Collectible', 'from', '$10.95', 'Paperback', '$10.20', '43', 'Used', 'from', '$3.88', '42', 'New', 'from', '$5.02', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-10-30,4.6 out of 5 s,http://www.amazon.com/Precious-Grace-Ladies-Detective-Agency-ebook/dp/B01AQO0IJM?tag=NYTBS-20,1,14.32,4.6,pos,0.5
"The vampire hunter Anita Blake, her friend Edward and her servant Damian travel to Ireland to battle an unusual vampire infestation.","['hamilton', 'sex', 'action', 'laurell', 'pages', 'edward', 'ireland', 'relationship', 'relationships', 'nathaniel', 'lkh', 'boring', 'scenes', 'beginning', 'men', 'drama', 'page', 'vampires', 'miss', 'damian']",CRIMSON DEATH,1206,"['Hardcover', '$6.95']",2016-10-30,3.9 out of 5,http://www.amazon.com/Crimson-Death-Anita-Vampire-Hunter/dp/1101987731?tag=NYTBS-20,1,6.95,3.9,pos,0.2
Three young people come of age in a black community in Southern California.,"['nadia', 'church', 'bennett', 'mother', 'young', 'ending', 'luke', 'brit', 'lives', 'aubrey', 'women', 'abortion', 'debut', 'community', 'main', 'girl', 'suicide', 'friendship', 'father', 'relationships']",THE MOTHERS,339,"['Hardcover', '$13.52', '194', 'Used', 'from', '$1.01', '87', 'New', 'from', '$5.55', '29', 'Collectible', 'from', '$5.89', 'Paperback', '$10.18', '73', 'Used', 'from', '$1.87', '64', 'New', 'from', '$2.41', '1', 'Collectible', 'from', '$3.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.1 out of 5 s,http://www.amazon.com/Mothers-Novel-Brit-Bennett/dp/0399184511?tag=NYTBS-20,1,13.52,4.1,neg,-0.0222222222
A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.,"['grisham', 'john', 'page', 'kept', 'ending', 'slow', 'legal', 'twists', 'novels', 'suspense', 'usual', 'turner', 'boring', 'interest', 'turns', 'thriller', 'predictable', 'judge', 'finish', 'florida']",THE WHISTLER,7678,"['Hardcover', '$0.25']",2017-01-01,4.2 out of 5,https://www.amazon.com/Whistler-John-Grisham-ebook/dp/B01C1LUFFK?tag=NYTBS-20,25,0.25,4.2,,0
Virgil Flowers of the Minnesota Bureau of Criminal Apprehension must deal with the theft of tigers from the local zoo.,"['sandford', 'john', 'sanford', 'davenport', 'lucas', 'tigers', 'humor', 'novels', 'usual', 'prey', 'enjoyable', 'entertaining', 'minnesota', 'action', 'frankie', 'zoo', 'funny', 'ending', 'tiger', 'crime']",ESCAPE CLAUSE,2311,"['Hardcover', '$5.70', '187', 'Used', 'from', '$0.99', '26', 'New', 'from', '$5.70', '9', 'Collectible', 'from', '$5.96', 'Paperback', '$7.99', '156', 'Used', 'from', '$1.14', '72', 'New', 'from', '$6.29', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.5 out of 5,https://www.amazon.com/Escape-Clause-Virgil-Flowers-Novel/dp/0399168915?tag=NYTBS-20,4,5.7,4.5,neg,-0.2
A story of love and redemption featuring the Baxter family.,"['karen', 'kingsbury', 'baxters', 'god', 'heart', 'faith', 'erin', 'john', 'kendra', 'christian', 'lives', 'eve', 'maddie', 'holiday', 'accident', 'recipient', 'writes', 'coming', 'netgalley', 'tears']",A BAXTER FAMILY CHRISTMAS,699,"['Hardcover', '$11.72', '101', 'Used', 'from', '$1.75', '70', 'New', 'from', '$6.12', '7', 'Collectible', 'from', '$6.92', 'Paperback', '$15.99', '1', 'New', 'from', '$15.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$10.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.8 out of 5 s,https://www.amazon.com/Baxter-Family-Christmas-Karen-Kingsbury/dp/1451687567?tag=NYTBS-20,3,11.72,4.8,pos,0.5
"The New York lawyer Stone Barrington’s client needs help spending the fortune he won in the lottery, as well as protection from scheming bad guys.","['woods', 'stuart', 'ending', 'boring', 'waste', 'usual', 'novels', 'rich', 'lottery', 'disappointing', 'guy', 'worst', 'library', 'ended', 'women', 'entertaining', 'spending', 'typical', 'predictable', 'wood']","SEX, LIES  AND SERIOUS MONEY",798,"['Hardcover', '$9.48', '114', 'Used', 'from', '$1.01', '20', 'New', 'from', '$3.46', '6', 'Collectible', 'from', '$10.99', 'Paperback', '$7.56', '139', 'Used', 'from', '$0.45', '58', 'New', 'from', '$1.98', '1', 'Collectible', 'from', '$6.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,3.4 out of 5 s,https://www.amazon.com/Serious-Money-Stone-Barrington-Novel/dp/0399573941?tag=NYTBS-20,2,9.48,3.4,neg,-0.2818181818
The fourth book in the fantasy Lightbringer series.,"['brent', 'kip', 'previous', 'twists', 'gavin', 'development', 'fantasy', 'teia', 'filler', 'final', 'magic', 'waiting', 'action', 'karris', 'installment', 'trilogy', 'ending', 'coming', 'chapters', 'happens']",THE BLOOD MIRROR,707,"['Hardcover', '$16.18', '70', 'Used', 'from', '$3.76', '51', 'New', 'from', '$10.42', '2', 'Collectible', 'from', '$15.00', 'Paperback', '$11.55', '52', 'Used', 'from', '$6.46', '52', 'New', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.3 out of 5 s,https://www.amazon.com/Blood-Mirror-Lightbringer-Brent-Weeks/dp/031625133X?tag=NYTBS-20,1,16.18,4.3,,0
"While the F.B.I. agent Aloysius Pendergast is believed dead, his ward is kidnapped.","['preston', 'constance', 'child', 'authors', 'diogenes', 'ending', 'proctor', 'novels', 'dead', 'mystery', 'twists', 'previous', 'disappointing', 'usual', 'action', 'beginning', 'brother', 'adventure', 'write', 'turns']",THE OBSIDIAN CHAMBER,1395,"['Hardcover', '$15.86', '156', 'Used', 'from', '$1.60', '68', 'New', 'from', '$9.15', '8', 'Collectible', 'from', '$7.95', 'Paperback', '$12.10', '23', 'Used', 'from', '$2.94', '18', 'New', 'from', '$9.30', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.2 out of 5,https://www.amazon.com/Obsidian-Chamber-Agent-Pendergast/dp/1455536911?tag=NYTBS-20,3,15.86,4.2,neg,-0.2
Stories about women’s lives by the author of “Me Before You.”,"['moyes', 'jojo', 'collection', 'nell', 'novella', 'romantic', 'women', 'boyfriend', 'woman', 'lives', 'rest', 'alone', 'romance', 'main', 'enjoyable', 'crocodile', 'list', 'delightful', 'trip', 'city']",PARIS FOR ONE AND OTHER STORIES,225,"['Hardcover', '$14.87', '118', 'Used', 'from', '$0.97', '23', 'New', 'from', '$5.98', '6', 'Collectible', 'from', '$6.35', 'Paperback', '$7.08', '162', 'Used', 'from', '$0.25', '65', 'New', 'from', '$1.48', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-13,4.0 out of 5 s,https://www.amazon.com/Paris-Other-Stories-Jojo-Moyes/dp/0735221073?tag=NYTBS-20,1,14.87,4,,0
The detective Harry Bosch aids a billionaire in search of a possible heir.,"['connelly', 'michael', 'detective', 'novels', 'haller', 'twists', 'police', 'cases', 'mickey', 'page', 'turns', 'usual', 'mystery', 'lawyer', 'plots', 'private', 'lines', 'heir', 'serial', 'rapist']",THE WRONG SIDE OF GOODBYE,5857,"['Hardcover', '$25.15', '28', 'Used', 'from', '$4.49', '25', 'New', 'from', '$12.50', 'Paperback', '$12.79', '196', 'Used', 'from', '$1.25', '62', 'New', 'from', '$7.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2017-01-01,4.7 out of 5,https://www.amazon.com/Wrong-Goodbye-Harry-Bosch-Novel-ebook/dp/B01BU1ITMI?tag=NYTBS-20,11,25.15,4.7,,0
A Frenchwoman who worked with the Resistance but was accused of collaboration finally has her name cleared.,"['danielle', 'steel', 'war', 'steele', 'historical', 'france', 'fiction', 'novels', 'beginning', 'page', 'gaelle', 'kept', 'young', 'woman', 'girl', 'jewish', 'finished', 'courage', 'touching', 'resistance']",THE AWARD,726,"['Hardcover', '$14.40', '147', 'Used', 'from', '$0.25', '29', 'New', 'from', '$8.34', '6', 'Collectible', 'from', '$7.00', 'Paperback', '$26.22', '57', 'Used', 'from', '$1.54', '39', 'New', 'from', '$18.24', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-20,4.7 out of 5 s,https://www.amazon.com/Award-Novel-Danielle-Steel-ebook/dp/B01BJSRSF6?tag=NYTBS-20,2,14.4,4.7,,0
"a soul-searching story about a young woman struggling to redefine herself and the power of love, family, and fate.","['hoffman', 'alice', 'shelby', 'accident', 'guilt', 'young', 'helene', 'journey', 'main', 'coma', 'dogs', 'woman', 'redemption', 'netgalley', 'girl', 'mother', 'honest', 'lives', 'survivor', 'school']",FAITHFUL,516,"['Hardcover', '$14.68', '140', 'Used', 'from', '$1.99', '66', 'New', 'from', '$6.21', '10', 'Collectible', 'from', '$15.95', 'Paperback', '$10.17', '21', 'Used', 'from', '$2.94', '42', 'New', 'from', '$6.97', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-11-20,4.4 out of 5 s,https://www.amazon.com/Faithful-Novel-Alice-Hoffman/dp/1476799202?tag=NYTBS-20,5,14.68,4.4,pos,0.3
